,JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary,JobUrl
0,PHP & MySQL & HTML/CSS & JS Developers,Retail Ecommerce Ventures,Remote,30+ days ago,2021-09-09,"
luRetail E Commerce Ventures LLC is seeking highly skilled and experienced.lu
luFluent or near-fluent spoken and written English is a must have requirement so you can…lu
",,https://www.indeed.com/rc/clk?jk=1976917a4f4ce989&fccid=15108996681b8254&vjs=3
1,newSr PHP Developer,opentext,Remote,1 day ago,2021-09-09,"
luThe candidate should have experience developing clean, scalable, secure web applications using modern technologies.lu
luEvaluation/execution of system upgrades.lu
",,https://www.indeed.com/rc/clk?jk=f70224f79ed38fe9&fccid=c908408e676247d6&vjs=3
2,PHP/MySQL Developers,Webmasters.com,"Tampa, FL 33611 (Bayside West area)•Remote",30+ days ago,2021-09-09,"
luPHP must be your primary language, and language of choice.lu
luUnderstands and can work with existing HTML.lu
luUnderstands and can work with JavaScript.lu
",,https://www.indeed.com/rc/clk?jk=53e3797b2d053ae0&fccid=b51f6c82bd8d4d91&vjs=3
3,Data Analyst,ZappyRide,Remote,30+ days ago,2021-09-09,"
luA growing start-up in the electric car space needs YOU to help source, compile and maintain data for electric vehicles.lu
luTrip planning and time to charge EVs.lu
","$60,000 to $85,000 a year",https://www.indeed.com/rc/clk?jk=63d734eccd29cdb8&fccid=fb39aab08188be79&vjs=3
4,PHP,Intone Networks,Remote,30+ days ago,2021-09-09,"
luAdvanced knowledge of software development methodologies.lu
luStrong Linux experience * Angular 2+ / Typescript / NodeJS * MySQL * luPHPlu 7+ * Experience with Zend…lu
",,https://www.indeed.com/rc/clk?jk=a7d59aab51a43ec6&fccid=3ed0572c448b2368&vjs=3
5,newSenior PHP Developer |LATAM|,BairesDev,"Colon, PA•Remote",8 days ago,2021-09-09,"
luThese developers will face numerous technical challenges, so they must use current technologies, get involved in the mobile world, web applications, devices,…lu
",,https://www.indeed.com/rc/clk?jk=7796a02ab572a0f1&fccid=29707109e86166e5&vjs=3
6,PHP Developer,BlueCloud Technologies,Remote,30+ days ago,2021-09-09,"
luTesting new features thoroughly to ensure they perform the correct task in all cases.lu
luEvery day, we work hard behind the scenes, helping customers optimize the…lu
",,https://www.indeed.com/rc/clk?jk=e986e0359b95efb4&fccid=204c0da6dbe2f689&vjs=3
7,Marketplace Investigations Analyst,Facebook,Remote,30+ days ago,2021-09-09,"
luThe Investigations Analytics team specializes in analyzing patterns, understanding threats, uncovering and investigating violations.lu
",,https://www.indeed.com/rc/clk?jk=c160f7dc2fabf5ee&fccid=1639254ea84748b5&vjs=3
8,PHP Engineer with Laravel and Angular,Intone Networks,Remote,30+ days ago,2021-09-09,"
luNotes: • They are starting on some major roadmap projects implementation in their flagship products and need extra support in the Angular and luPHPlu development…lu
",,https://www.indeed.com/rc/clk?jk=f9fbaef00a969797&fccid=3ed0572c448b2368&vjs=3
9,PHP/WP Developer,Incsub,Remote,30+ days ago,2021-09-09,"
luStrong knowledge of the common luPHPlu or web server exploits and their solutions.lu
luComplete knowledge of WordPress architect ( eg. custom post types, WordPress…lu
",,https://www.indeed.com/rc/clk?jk=0dd73193121bc9b7&fccid=c8371da2422d8ec5&vjs=3
10,newLARAVEL DEVELOPER,Coalition Technologies,"Culver City, CA 90232•Remote",2 days ago,2021-09-09,"
luThe most competitive profit-sharing bonus plans in the industry.lu
luWe pay up to 50% of all profits monthly to all full-time employees!lu
luPassion to build a startup.lu
",,https://www.indeed.com/company/Coalition-Technologies/jobs/Laravel-Developer-da4f3b7c3ec79705?fccid=cb4bf53ec81a87ba&vjs=3
11,PHP Developer,WSM International,Remote,30+ days ago,2021-09-09,"
luMaintain existing codebases, to include troubleshooting bugs and adding new features.lu
luYou’ll create and implement a dynamic range of new web applications, and…lu
",,https://www.indeed.com/rc/clk?jk=49789fa2cdbc5152&fccid=97326da255edc2c4&vjs=3
12,QA - Plugin Tester,Incsub,Remote,30+ days ago,2021-09-09,"
luFor this role, you will provide beta testing for all plugin and service releases.lu
luThis includes user testing, functionality tests, regression tests,…lu
",,https://www.indeed.com/rc/clk?jk=573cd935c81bfcaf&fccid=c8371da2422d8ec5&vjs=3
13,Customer/Technical Support,AplexHost,Remote,30+ days ago,2021-09-09,"
luAt least 3 years of experience with cPanel/WHM & the web hosting industry.lu
luHas a firm understanding of open source software such as WordPress, Drupal, Joomla,…lu
",,https://www.indeed.com/rc/clk?jk=d1169d596b04b2d1&fccid=d5e4ebf0cea85693&vjs=3
14,"newData Scientist, Product",Facebook,Remote,2 days ago,2021-09-09,"
luThe perfect candidate will have a background in a quantitative or technical field, will have experience working with large data sets, and will have some…lu
",,https://www.indeed.com/rc/clk?jk=c487eaac6efe6540&fccid=1639254ea84748b5&vjs=3
15,Freelance PHP/WordPress Developer,The Motley Fool,Remote,30+ days ago,2021-09-09,"
luWe are estimating 30-40 hours per week for this role.lu
luYou have deep experience writing code for WordPress as a CMS.lu
",,https://www.indeed.com/rc/clk?jk=e49b768580f6b181&fccid=62d0bf8f2d130eaa&vjs=3
16,Full Stack PHP Developer (with React & Symfony/Laravel),Intone Networks,Remote,22 days ago,2021-09-09,"
luFull Stack luPHPlu Developer (with React & Symfony/Laravel) Skill Set Profile 5+ years OO and MVC software/web/API dev experience required Service oriented design…lu
",,https://www.indeed.com/rc/clk?jk=383745093ffedf00&fccid=3ed0572c448b2368&vjs=3
17,newPHP Developer,Frontier Communications,Remote,8 days ago,2021-09-09,"
luMajority of the time is expected to be spent developing new features; working with other teams to collect requirements and provide direction on the usage of the…lu
",,https://www.indeed.com/rc/clk?jk=610e8552b20a3bca&fccid=81d1e68cec787077&vjs=3
18,Junior PHP Programmer,Multis UK,Remote,30+ days ago,2021-09-09,"
luForm of employment: part-time, full-time.lu
luSoftware code development on bigger projects in luPHPlu programming language using SQL databases.lu
",,https://www.indeed.com/rc/clk?jk=e183fb63ca24c7b7&fccid=5ee7b28f644795ed&vjs=3
19,PHP Laravel Developer,Ayoconnect,Remote,30+ days ago,2021-09-09,"
luBuilding and maintaining modern web applications using standard web development tools.lu
luWriting clean and secure modular codes that have undergone strict testing…lu
",,https://www.indeed.com/rc/clk?jk=29e99f446f00116f&fccid=2e269cf8cf4232bb&vjs=3
20,Jr. Site Editor,Crushvertise,"Austin, TX 78701 (Downtown area)•Remote",30+ days ago,2021-09-09,"
luWe’re masters of advertising, traffic delivery, campaign maintenance and tracking.lu
luFull-time 40 hours / week, fixed schedule.lu
",,https://www.indeed.com/rc/clk?jk=2aba8d49f604686b&fccid=a9b09cd87d718bff&vjs=3
21,newApplication Analyst *Remote Available*,Steward Health Care,"Dallas, TX 75201 (Arts District area)•Remote",Today,2021-09-09,"
luDevelop and support HTML/PHP based Help Desk Knowledge base web site.lu
luDevelop and support end user Self-Service web site.lu
luDocument Help Desk support processes.lu
",,https://www.indeed.com/rc/clk?jk=11f279256ae8db8d&fccid=0583e4d049538c8f&vjs=3
22,newFRONT END DEVELOPER,Coalition Technologies,"Culver City, CA 90232•Remote",2 days ago,2021-09-09,"
luThe most competitive profit-sharing bonus plans in the industry.lu
luWe pay up to 50% of all profits monthly to all full-time employees!lu
",,https://www.indeed.com/company/Coalition-Technologies/jobs/Front-End-Developer-17e1ddf3175f27ae?fccid=cb4bf53ec81a87ba&vjs=3
23,Personal Hearing Professional,Eargo,Remote,30+ days ago,2021-09-09,"
luAs a Personal Hearing Professional (PHP) you will use your hearing aid knowledge, fitting, and communication skills to not only successfully coach clients…lu
",,https://www.indeed.com/rc/clk?jk=6e4691f131eb6d37&fccid=bac37a69ef6b25a5&vjs=3
24,PHP Developer,Mindfire Technology,"Layton, UT 84041•Remote",30+ days ago,2021-09-09,"
luProviding innovative software development services that delight our clients.lu
luAttend daily stand-up meetings to provide updates on project status.lu
",,https://www.indeed.com/rc/clk?jk=9ca6fa7b64015971&fccid=6d47daf428a914c1&vjs=3
25,newSenior PHP Developer,Expect Engineering Solutions,Remote,7 days ago,2021-09-09,"
luSeeking a Senior luPHPlu Developer for a full-time/perm placement.lu
luIncludes a $20,000 signing bonus.lu
lu5 to 7 (or more) years experience using PHP.lu
",,https://www.indeed.com/rc/clk?jk=109cc80a24a82822&fccid=4a201efff3e357f0&vjs=3
26,PHP Developer,MyArea Network,"Tampa, FL•Remote",30+ days ago,2021-09-09,"
luMyArea Network is seeking experienced web developers with a primary focus on the development of all server-side logic, definition and maintenance of the central…lu
",,https://www.indeed.com/rc/clk?jk=d57c385088537da6&fccid=2680dbaf78ec5366&vjs=3
27,newSoftware Engineer,"Zoom Video Communications, Inc.","Seattle, WA•Remote",1 day ago,2021-09-09,"
luMarketplace integration apps extend Zoom’s collaboration capabilities to 3rd party products and services.lu
luYou will be part of Zoom’s platform engineering team…lu
",,https://www.indeed.com/rc/clk?jk=c18e2af03d9af797&fccid=e32d933c26e873c8&vjs=3
28,Software Engineer (PHP),MercuryGate International,Remote,19 days ago,2021-09-09,"
luCBO is a last mile billing and rating system to manage all elements of the final mile delivery from Order, Execution, Settlement and reporting.lu
","$70,000 to $110,000 a year",https://www.indeed.com/company/MercuryGate-International/jobs/Software-Engineer-2e24c95186751023?fccid=6f1ea647b03f330c&vjs=3
29,Software Engineer - Systems AR/VR,Facebook,Remote,12 days ago,2021-09-09,"
luThe Software Engineering (Infrastructure) team builds large distributed components that run Facebook.lu
luOur code serves millions of requests per second and it…lu
",,https://www.indeed.com/rc/clk?jk=a5288bcf4aa1ca11&fccid=1639254ea84748b5&vjs=3
