,JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary,JobUrl
30,Software Engineer - Systems AR/VR,Facebook,+8 locationsRemote,12 days ago,2021-09-09,"
luThe Software Engineering (Infrastructure) team builds large distributed components that run Facebook.lu
luOur code serves millions of requests per second and it…lu
",,https://www.indeed.com/rc/clk?jk=a5288bcf4aa1ca11&fccid=1639254ea84748b5&vjs=3
31,newPHP Developer,Artemis Consulting Inc,"McLean, VA 22102+24 locations•Remote",6 days ago,2021-09-09,"
lu5+ years of luPHPlu experience – Experience with Postgres, Symfony, Zend, or CodeIgniter required.lu
luMultiple Full-time Remote Positions Full benefits – U.S. Based…lu
",,https://www.indeed.com/rc/clk?jk=f22e918154cb8df8&fccid=d38451346464f487&vjs=3
32,PHP Software Engineer - Everyday Health,Everyday Health - Professional,Remote,13 days ago,2021-09-09,"
luYou will collaborate with a team of developers to design, develop, unit test, and support new features.lu
luYou must have strong analytical and technical skills…lu
",,https://www.indeed.com/rc/clk?jk=34a25d544ff90b7d&fccid=8657da141128681f&vjs=3
33,Security Engineer,Facebook,+6 locationsRemote,30+ days ago,2021-09-09,"
luYou will be analyzing different sources of information leveraged for detection, responding and investigating incidents and working with our software and…lu
",,https://www.indeed.com/rc/clk?jk=e218b60e3d10f6b3&fccid=1639254ea84748b5&vjs=3
34,Sr. PHP Engineer,Fitted,+1 locationRemote,30+ days ago,2021-09-09,"
luTranslate design requirements and mockups into fully functioning site features.lu
luCollaborate on finding and troubleshooting bugs.lu
",,https://www.indeed.com/rc/clk?jk=94ce850b00e699b0&fccid=798a0a220a0e15fe&vjs=3
35,PHP Application Developer (REMOTE AVAILABLE),Vanderbilt University Medical Center,"Nashville, TN 37203•Remote",30+ days ago,2021-09-09,"
luThis luPHPlu Application Developer will be a PHP/JavaScript developer with experience using modern frameworks who will join our team in crafting software to support…lu
",,https://www.indeed.com/rc/clk?jk=3d45106ee8e3bbaa&fccid=9a79b8527fbd5a84&vjs=3
36,Second Level Support,Incsub,Remote,30+ days ago,2021-09-09,"
luYou’ll be figuring out the root cause of the problem, finding ways to avoid conflict between different WordPress components and providing customer snippets that…lu
",,https://www.indeed.com/rc/clk?jk=ac83fef6c1dc89ef&fccid=c8371da2422d8ec5&vjs=3
37,"Software Engineer, Backend - Backend",Slack,Remote,30+ days ago,2021-09-09,"
luYou’ll actively own team features or systems and define their long-term health, while also improving the health of surrounding systems.lu
",,https://www.indeed.com/rc/clk?jk=3842769b9819e251&fccid=8d0ce3817d129779&vjs=3
38,Senior Frontend Engineer (Remote),XWP,Remote,30+ days ago,2021-09-09,"
luUsed scalable and maintainable CSS architectures (OOCSS, SMACSS, BEM, Inverted Triangle CSS), and have working experience with preprocessors.lu
",$40 to $60 an hour,https://www.indeed.com/rc/clk?jk=5aaf9c36f0e862c1&fccid=3b418bcb75100be3&vjs=3
39,PHP Developer,MHP/Team SI,Remote,17 days ago,2021-09-09,"
luHelp build a new scalable platform using luPHPlu and WordPress for our client base.lu
luYou have experience working in object-oriented (OOP) luPHPlu and are familiar with…lu
",,https://www.indeed.com/rc/clk?jk=bf5e3279a125f7af&fccid=ed37d49c9a7fe395&vjs=3
40,Website Operations Specialist,AplexHost,Remote,30+ days ago,2021-09-09,"
luAt least 3 years of experience with cPanel/WHM & the web hosting industry.lu
luHas a firm understanding of open source software such as WordPress, Drupal, Joomla,…lu
",,https://www.indeed.com/rc/clk?jk=d443de13af1f8712&fccid=d5e4ebf0cea85693&vjs=3
41,PHP Developer (Laravel),Cyber-Duck,+1 locationRemote,30+ days ago,2021-09-09,"
luWith a top-notch team Project Management Office (PMO), UX Designers, Software Developers and Marketers.lu
luWe are looking for someone with experience who can…lu
",,https://www.indeed.com/rc/clk?jk=3fb67da2bf4e1cad&fccid=2ef30cb5d336285c&vjs=3
42,Sales & Reservations Agent (Part Time),U-Haul,"Austin, TX 78727+3 locations•Remote",14 days ago,2021-09-09,"
luContact Center agents take back-to-back, incoming calls from customers who need help with U-Haul products and services.lu
luUse good time management practices.lu
",$13 an hour,https://www.indeed.com/rc/clk?jk=5a49fd8c063dceb7&fccid=2533ecec90dc66a3&vjs=3
43,Senior Windows Server Software Engineer – PHP and C# or C++...,VMware,"Little Rock, AR+43 locations•Remote",30+ days ago,2021-09-09,"
luPlan, design, develop, document, own, and maintain multiple features through the complete software development lifecycle.lu
luFull Time/ Part Time: Full Time.lu
","$105,000 a year",https://www.indeed.com/rc/clk?jk=6330b1688e4223ec&fccid=c762a27145bd166e&vjs=3
44,newFront-End Engineer - Loop Commerce,Synchrony,"San Francisco, CA 94105 (Financial District area)•Remote",Today,2021-09-09,"
luA minimum of 3 years’ experience and high proficiency with cross-browser HTML and CSS, including the latest HTML5/CSS3 features.lu
luYou must be 18 years or older.lu
",,https://www.indeed.com/rc/clk?jk=853b5670f8f54d44&fccid=bfac37d9f1a8a5a2&vjs=3
45,WordPress PHP Developer,Digital Pulp,"New York, NY 10010 (Gramercy area)•Remote",30+ days ago,2021-09-09,"
luConfident and comfortable to define and present decisions that are scalable and reusable.lu
luYou can assess and solve complex visual or functional issues with…lu
",,https://www.indeed.com/rc/clk?jk=1a99d64bf1194432&fccid=c08889b44d0203db&vjs=3
46,"Research Scientist, Core Data Science",Facebook,Remote,11 days ago,2021-09-09,"
luWe are computational social scientists dedicated to addressing research questions related to these issues and applying the highest quality science to developing…lu
",,https://www.indeed.com/rc/clk?jk=82b353914269e712&fccid=1639254ea84748b5&vjs=3
47,Sr. Laravel Developer,Perception System,"San Jose, CA 95132 (Berryessa area)•Remote",30+ days ago,2021-09-09,"
luSound knowledge of Laravel 5.x to 7.x.lu
luHands-on skill on Laravel concepts (Repository/Seeders/Queues etc).lu
luMust have an ability to write clean, understandable…lu
",,https://www.indeed.com/rc/clk?jk=0fd3b088ca7bdd53&fccid=1f9615052d890e52&vjs=3
48,newEdge Computing Specialist,Pantheon,Remote,2 days ago,2021-09-09,"
luThis position can be remote and based anywhere in the US.lu
luAs an Edge Computing Consultant, your role will be as an individual contributor to ensure customers’…lu
",,https://www.indeed.com/rc/clk?jk=74e3a713e3612672&fccid=1cb7b230854ac96a&vjs=3
49,Lamp Stack developer with PHP & css,CapB InfoteK,"Madison, WI•Remote",30+ days ago,2021-09-09,"
luFocus will be updating deprecated code for applications that are moving from luphplu 5.x to luphplu 7.x.lu
luFor our growing needs we need consultants who can work with us…lu
",,https://www.indeed.com/rc/clk?jk=5ac743fd35898bf3&fccid=5033463af3c58699&vjs=3
50,newHubSpot Web Developer,Bluleadz,"Tampa, FL 33607 (Tampa International Airport Area area)•Remote",Active 3 days ago,2021-09-09,"
luAs a developer at Bluleadz, you’re taking ownership of various website projects for our clients.lu
luYou get to flex your badass coding and design skills while…lu
","$65,000 to $85,000 a year",https://www.indeed.com/company/Bluleadz/jobs/Hubspot-Web-Developer-54f28874e39cba43?fccid=b1d6a08cf37637ee&vjs=3
51,Internal Software Engineer,Facebook,Remote,25 days ago,2021-09-09,"
luYou should be energized by finding patterns amid chaos, acting on and resolving issues quickly, and enjoy solving business problems through technology.lu
",,https://www.indeed.com/rc/clk?jk=723b177c81f3a164&fccid=1639254ea84748b5&vjs=3
52,Application Security Engineer,Facebook,Remote,30+ days ago,2021-09-09,"
luYou will be relied upon to provide engineering and product teams with the security expertise necessary to make confident product decisions.lu
",,https://www.indeed.com/rc/clk?jk=45bdf3bd1f5255f3&fccid=1639254ea84748b5&vjs=3
53,"PHP, MYSQL Developer - Long Term Consulting, 100% Remote",Endurance IT,"Virginia Beach, VA 23452 (Thalia area)•Remote",30+ days ago,2021-09-09,"
luPHP, MYSQL Developer - Long Term Consulting, 100% Remote.lu
luDesign and architect web-based software systems using HTML, CSS, JS, luPHPlu, MySQL, WordPress and Drupal.lu
",,https://www.indeed.com/rc/clk?jk=9227e7b919857a18&fccid=9e7ce1fe9c368594&vjs=3
54,Junior Software Developer,"Apprio, Inc.",Remote,Active 7 days ago,2021-09-09,"
luOur benefits program allows our employees to select the features that make the most sense for their individual and/or dependent(s) needs.lu
",,"https://www.indeed.com/company/Apprio,-Inc./jobs/Junior-Software-Developer-f427ca7e85db4e24?fccid=245af1f0730bc6b7&vjs=3"
55,newOnline Associate Faculty - BS in Computer Software Technolog...,University of Arizona Global Campus,Remote,8 days ago,2021-09-09,"
luThe Online Associate Faculty position is a part-time, temporary adjunct employment opportunity.lu
luEmphasize a student-centered learning environment through active…lu
",,https://www.indeed.com/rc/clk?jk=0ad2a7bac600ecca&fccid=4c7833c1b5f54b8e&vjs=3
56,Senior PHP Developer (Laravel),Interaction Design Foundation,Remote,30+ days ago,2021-09-09,"
luYou will have regular video-based contact with your colleagues and get to meet them physically on team trips.lu
luOptimize infrastructure for better scalability (we…lu
",,https://www.indeed.com/rc/clk?jk=ac16a487babe701b&fccid=c5ddfd3ff126a164&vjs=3
57,newPHP Developer,Artemis Consulting Inc,"Dearborn Heights, MI 48127+24 locations•Remote",6 days ago,2021-09-09,"
lu5+ years of luPHPlu experience – Experience with Postgres, Symfony, Zend, or CodeIgniter required.lu
luMultiple Full-time Remote Positions Full benefits – U.S. Based…lu
",,https://www.indeed.com/rc/clk?jk=fff9247b86ed2424&fccid=d38451346464f487&vjs=3
58,newFull Stack Developer - REMOTE,Piper Companies,Remote,6 days ago,2021-09-09,"
luThe Full Stack Developer will be responsible for developing and maintaining internal applications.lu
luThe ideal candidate for the Full Stack Developer role will…lu
","$70,000 to $80,000 a year",https://www.indeed.com/rc/clk?jk=c4b512ad59f8672d&fccid=fc68da685e8aa986&vjs=3
59,PHP Developer,Logicnext,"Pasadena, CA 91101 (West Central area)•Remote",30+ days ago,2021-09-09,"
luUnderstanding fundamental design principles behind a scalable application.lu
luWe are looking for a luPHPlu developer responsible for managing back-end services, create…lu
",,https://www.indeed.com/rc/clk?jk=40e0375ec1688ced&fccid=e31bc081e8042daf&vjs=3
60,Windows Systems Engineer,Facebook,+1 locationRemote,30+ days ago,2021-09-09,"
luThe services we manage include authentication and directory services, public key infrastructure, email, load balancing, and virtual desktop services, among…lu
",,https://www.indeed.com/rc/clk?jk=c1d6c6dc9a050c4f&fccid=1639254ea84748b5&vjs=3
61,newSoftware Developer,Sterling Check,"Norwood, MA•Remote",Today,2021-09-09,"
luThis position suits someone who is dynamic loves continuous sprints and wants to work on interesting and exciting projects which will have your own input and…lu
",,https://www.indeed.com/rc/clk?jk=ec573c499c276b43&fccid=57920f26fe0e4a5b&vjs=3
62,Online Associate Faculty - BS in Information Technology,University of Arizona Global Campus,Remote,30+ days ago,2021-09-09,"
luThe Online Associate Faculty position is a part-time, temporary adjunct employment opportunity.lu
luEmphasize a student-centered learning environment through active…lu
",,https://www.indeed.com/rc/clk?jk=9628febd1be44c77&fccid=4c7833c1b5f54b8e&vjs=3
63,newAzure App Services Support Engineer,Microsoft,"Atlanta, GA+1 location•Remote",6 days ago,2021-09-09,"
luThis is an opportunity for you to be constantly learning as the Platform expands to provide broader capabilities to our customers, enable customers using a…lu
",,https://www.indeed.com/rc/clk?jk=0ecf6c23a609abbb&fccid=734cb5a01ee60f80&vjs=3
64,Customer Service Agent (Part Time)(Remote),U-Haul,"Jacksonville, FL 32202 (Downtown Jacksonville area)+2 locations•Remote",30+ days ago,2021-09-09,"
luIn this role you will take incoming calls from customers resolving customer concerns as well as assist with product knowledge, reservation and rental assistance…lu
",,https://www.indeed.com/rc/clk?jk=ec2da6999cce0c24&fccid=2533ecec90dc66a3&vjs=3
65,Sr. PHP Application Developer,Boomtown,Remote,30+ days ago,2021-09-09,"
luThis includes work on our knowledge management, experience management, customer journey orchestration, and many other features.lu
luSolid OOP skills in luPHPlu 7.4+.lu
",,https://www.indeed.com/rc/clk?jk=7003a9e6cfcf2ce7&fccid=12f549de23b6112b&vjs=3
66,newSenior Fullstack Developer,Play Magnus,Remote,8 days ago,2021-09-09,"
luWe are seeking an experienced full stack developer ready to help us evolve our architecture & automated testing as well as mentor junior team members.lu
",,https://www.indeed.com/rc/clk?jk=0b7478463d5bb1f2&fccid=dc48073908fcb2bb&vjs=3
67,newDIGITAL STRATEGIST,Coalition Technologies,"Culver City, CA 90232•Remote",2 days ago,2021-09-09,"
luThe most competitive profit-sharing bonus plans in the industry.lu
luWe pay up to 50% of all profits monthly to all full-time employees!lu
luPassion to build a startup.lu
",,https://www.indeed.com/company/Coalition-Technologies/jobs/Digital-Strategist-55bde334e7240e98?fccid=cb4bf53ec81a87ba&vjs=3
68,PHP/Laravel Developer - Telecommute,UnitedHealth Group,"Herndon, VA 20171•Remote",30+ days ago,2021-09-09,"
luDesign and build upcoming new features.lu
luSupport and extend existing features.lu
luYou will be supporting and driving the DocASAP SaaS capabilities, responsible for…lu
",,https://www.indeed.com/rc/clk?jk=7b80b720cb596cf5&fccid=d3d3520998346837&vjs=3
69,Senior PHP Programmers,VenU eLearning Solutions,"Atlanta, GA•Remote",30+ days ago,2021-09-09,"
luAdditionally, experience developing ecommerce sites, Single Sign-On (SSO), database driven reports, and developing to secure application standards is required.lu
",,https://www.indeed.com/rc/clk?jk=26320a6168072989&fccid=8c101aef95dbfdf6&vjs=3
70,Senior Full-Stack PHP Developer (Remote),The Search Monitor,Remote,30+ days ago,2021-09-09,"
luSalary: Competitive, depending on experience.lu
luSome of our current technologies: LAMP Stack, Docker, AWS, git, JavaScript.lu
",,https://www.indeed.com/rc/clk?jk=1031bb4bbd295cfd&fccid=68c18657b9a0865f&vjs=3
71,Junior WordPress Developer (remote),Socius Marketing,"Tampa, FL 33607 (Tampa International Airport Area area)•Remote",14 days ago,2021-09-09,"
luAbility to create high-quality designs and build into a functioning browser compatible website, using proper markup, CSS and argument with interactive features…lu
",,https://www.indeed.com/rc/clk?jk=90fd37e7e8f66076&fccid=a62c357f074488b7&vjs=3
72,Junior SEO Strategist,Honest SEO,Remote,30+ days ago,2021-09-09,"
luHonest SEO is a digital marketing agency specializing in Search Engine Optimization (SEO).lu
luEducation, curiosity, and the pursuit of knowledge.lu
",,https://www.indeed.com/rc/clk?jk=ce5b6e5352a8318f&fccid=79303b5704123219&vjs=3
73,newPHP DEVELOPER,Coalition Technologies,"Culver City, CA 90232•Remote",2 days ago,2021-09-09,"
luThe most competitive profit-sharing bonus plans in the industry.lu
luWe pay up to 50% of all profits monthly to all full-time employees!lu
luPassion to build a startup.lu
",,https://www.indeed.com/company/Coalition-Technologies/jobs/PHP-Developer-3e7e0b8994f36e08?fccid=cb4bf53ec81a87ba&vjs=3
74,newVirtual Clinical Quality Data Analyst,AdventHealth Corporate,"Maitland, FL 32751•Remote",Today,2021-09-09,"
luVirtual Clinical Quality Data Analyst | AdventHealth Corporate.lu
luKnowledge of common analytical methods such as profiling customer segments, data modeling, and…lu
",,https://www.indeed.com/rc/clk?jk=0f0daeca25b2c46e&fccid=8774cb43672c6306&vjs=3
75,Software / Web Developer,Source Enterprises,"New York, NY 10036 (Midtown area)•Remote",30+ days ago,2021-09-09,"
luNot only will you learn skills that will last you a lifetime, but you will develop relationships and training that could set you up for a full- time job at…lu
",,https://www.indeed.com/rc/clk?jk=fd29085915c0e9f9&fccid=1577085fc2290983&vjs=3
76,Senior Full-Stack Developer & Vue js,Digital Minds Pakistan,Remote,30+ days ago,2021-09-09,"
lu2 years minimum experience with laravel and vue js and 5 years minimum experience luphplu and js.lu
luREMOTE WORKING – WITH ACTIV TRACK 7 HOURS PRODUCTIVE TIME.lu
","$80,000 to $120,000 a year",https://www.indeed.com/rc/clk?jk=b05df1437ae01fd1&fccid=09c82679a20f1e11&vjs=3
77,PHP / CodeIgnitor Developer,Lynker Technologies LLC,Remote,30+ days ago,2021-09-09,"
luLynker Technologies has an opening for luPHPlu Developer position with NOAA's Greater Atlantic Regional Fisheries Office (GARFO) performing Information Technology…lu
",,https://www.indeed.com/rc/clk?jk=1f822628be7668a2&fccid=a5fb37e2048b0c93&vjs=3
78,newSenior React Frontend Developer,Play Magnus,Remote,8 days ago,2021-09-09,"
luUpdate existing functionality and develop new features.lu
luHelp to refine and implement designs from the product team.lu
lu2+ years experience working with React.lu
",,https://www.indeed.com/rc/clk?jk=6f346e6330b014ce&fccid=dc48073908fcb2bb&vjs=3
79,Web Developer (PHP & Moodle LMS),ReliSource,Remote,30+ days ago,2021-09-09,"
luImplement multi-tenant and scalable architecture.lu
luThe individual has to be proficient in web development using various CMS platforms and also have solid…lu
",,https://www.indeed.com/rc/clk?jk=9c60faf1021cecdb&fccid=1debffbd07f77d5b&vjs=3
80,Software Developer,ComplianceBridge,Remote,30+ days ago,2021-09-09,"
luBecome competent in the use of ComplianceBridge™ product installation, implementation, usage, features, benefits, capabilities, and weaknesses.lu
","$40,000 to $100,000 a year",https://www.indeed.com/rc/clk?jk=53331f6a922fafc1&fccid=fb4342f6c46e9dc2&vjs=3
81,PHP Developer,adMixt,"New York, NY•Remote",24 days ago,2021-09-09,"
luDesign, develop, and maintain website tools and features.lu
luConsistently write code for optimal performance.lu
luUpgrade legacy code when necessary.lu
",,https://www.indeed.com/rc/clk?jk=e2fa7a30ca7a9cd7&fccid=a490fb0f75712ae4&vjs=3
82,newFull Stack Software Engineer - Remote,Humana,"Boston, MA 02110 (Downtown area)+1 location•Remote",7 days ago,2021-09-09,"
luThe Software Engineer 2 work assignments are varied and frequently require interpretation and independent determination of the appropriate courses of action.lu
",,https://www.indeed.com/rc/clk?jk=60d7bd08c174c9ca&fccid=5f1f0e6dcc6cbc83&vjs=3
83,Assistant Web Developer,PowerScore,"Charleston, SC 29492•Remote",30+ days ago,2021-09-09,"
luThe Assistant Web Developer assists in development, designing, and maintaining full-scale web frameworks, and will work with developers to assist in innovation…lu
",,https://www.indeed.com/rc/clk?jk=7b448229785dcf09&fccid=ab0b2e137a4480c6&vjs=3
84,Full Stack Web Developer - Node/React/Angular/PHP - Remote,Intercarve,Remote,30+ days ago,2021-09-09,"
luCandidates must be be able to demonstrate their ability to develop web applications of various sizes from start to finish, using a variety of scripting…lu
","$90,000 to $110,000 a year",https://www.indeed.com/rc/clk?jk=10fed9bbc0d310c7&fccid=dedd7f7220725ee3&vjs=3
